time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_rssi2,s_lqi2,s_rssi_status2
14520,1.61781740096195E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000524,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14522,1.61781740100179E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000524,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14525,1.61781740106165E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000524,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14529,1.61781740114153E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000873,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14531,1.61781740118143E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002793,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14532,1.6178174012014E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001222,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14533,1.61781740122136E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000175,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-42,68,1,-2,-2,-2,-2,-2,-2,-2,-2
14534,1.61781740124131E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000524,0,0,0,66.577003,23.341968,0.40356,23.745528,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14535,1.61781740126131E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000698,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14538,1.61781740132116E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000349,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14542,1.61781740140108E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.000175,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14544,1.61781740144091E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.473896,23.720408,24.194304,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14545,1.61781740146085E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.00192,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.466152,23.389608,23.85576,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14546,1.61781740148078E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001047,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.466152,23.389608,23.85576,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14548,1.61781740152086E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.001047,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.466152,23.389608,23.85576,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14550,1.61781740156082E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,-0.000175,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.466152,23.389608,23.85576,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
14552,1.61781740160069E+018,-1.012986,1.964684,0,0,-0.032109,0.999484,0,-2,0.002094,0,0,0,66.577003,23.342232,0.394536,23.736768,132527,81603,-256,0,0,-2,-2,-2,-2,-2,-2,0.466152,23.389608,23.85576,84270,7045,-43,67,1,-2,-2,-2,-2,-2,-2,-2,-2
