time_step,time_stamp,robot_pos_x,robot_pos_y,robot_orien_x,robot_orien_y,robot_orien_z,robot_orien_w,robot_twist_x,robot_twist_y,robot_twist_z,vel_x,vel_y,vel_w,network_delay,c_total_tx_mbps,c_total_rx_mbps,c_total_mbps,c_tx_retires,c_retransmits,c_tx_retires_cal,c_retransmits_cal,c_rssi,c_lqi,c_rssi_status,c_total_tx_mbps2,c_total_rx_mbps2,c_total_mbps2,c_rssi2,c_lqi2,c_rssi_status2,s_total_tx_mbps,s_total_rx_mbps,s_total_mbps,s_tx_retires,s_retransmits,s_tx_retires_cal,s_retransmits_cal,s_rssi,s_lqi,s_rssi_status,s_total_tx_mbps2,s_total_rx_mbps2,s_total_mbps2,s_tx_retires2,s_retransmits2,s_tx_retires2_cal,s_retransmits2_cal,s_rssi2,s_lqi2,s_rssi_status2
76050,1.61781170851928E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000349,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76051,1.61781170853921E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000175,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76052,1.61781170855918E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000873,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76053,1.61781170857911E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001047,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76054,1.61781170859907E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.000698,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76055,1.61781170862008E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.000524,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76056,1.61781170863919E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001571,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76057,1.61781170865906E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.002269,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76058,1.617811708679E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001396,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76059,1.61781170869889E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.00192,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76061,1.61781170873892E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.002618,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76062,1.61781170875986E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001571,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76063,1.61781170877885E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.002618,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-48,62,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76064,1.61781170879878E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,-0.001571,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76065,1.61781170881884E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001396,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
76066,1.61781170883874E+018,-0.691607,1.777236,0,0,-0.026962,0.999636,0,-2,0.001222,0,0,0,19.870001,17.240296,0.369904,17.6102,5675,78487,0,0,-47,63,1,-2,-2,-2,-2,-2,-2,0.329408,15.56532,15.894728,1597,4149,0,0,-54,56,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
